lang,length,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper
dutch,3,0.213726438520363,0.129936212637615,0.557245014409517,4.1999168507207e-09,0.000390967450277632,1.13090002041392e-61,0.143919451857703,0.0584609581288519,0.281416915662837,0.200086095008962
dutch,4,0.178107549723096,0.188950864763296,0.645231989729299,8.71628166457494e-12,4.19066690487987e-13,2.84256543637492e-171,0.127765304106689,0.13878727196547,0.227534401619209,0.238147315628176
dutch,5,0.156059885488875,0.156760530151312,0.603557133108959,1.80336596574447e-08,1.55419734021582e-08,1.16239826001252e-128,0.102310448642586,0.103021093657411,0.208900721943877,0.209587491446255
dutch,6,0.0724690632826893,0.026816634261645,0.498924639721908,0.0438477332095421,0.456277820107034,5.9136765249064e-50,0.00200994660675087,-0.0437353959456164,0.14221218813536,0.0971025157968181
dutch,7,0.030804915058904,0.0101148614733998,0.475764233404215,0.528475835795438,0.836066209420682,3.62756283508175e-25,-0.0649587080977168,-0.085540208652627,0.126006318273271,0.10558517043418
english,3,0.162228332967757,0.138484649824261,0.461323617874294,3.58029158153947e-08,2.66158835346965e-06,3.33055065218125e-61,0.10518380301453,0.0811016339854704,0.218208745208653,0.194952652732604
english,4,0.184401230795809,0.154370780966194,0.644797017442758,1.98382587158305e-13,8.41427524962307e-10,1.58912916859437e-184,0.136078242473566,0.105612122094291,0.231848859129088,0.202388936507195
english,5,0.133787587368789,0.159131319953406,0.597564185984615,1.11796700216511e-05,1.64927517991732e-07,1.17233819046168e-104,0.0744823800028863,0.10018418492405,0.192149789259568,0.216965262298727
english,6,0.115330594151814,0.159394519469412,0.389281307296601,0.0042789955617878,7.47963638607304e-05,1.40451297563095e-23,0.0364082087224809,0.0811646836353601,0.192823260514607,0.235672482880826
english,7,0.01043383219725,0.171154337211445,0.25041239681531,0.852736724300169,0.00215799476452265,5.97460117784663e-06,-0.0994921333795631,0.0625173668156812,0.120108188578593,0.275783023270892
french,3,0.158486872824627,0.215130522210128,0.647815394767173,3.39276534512382e-05,1.53414080800821e-08,6.27985800205023e-82,0.0841953506472655,0.142136661614075,0.231026193608749,0.285797292517523
french,4,0.0661238139992848,0.126535344002993,0.514971479288841,0.0172335708433272,4.85356237137108e-06,9.53263248180272e-89,0.0117343997948998,0.072603755372159,0.120123112488769,0.179729103857761
french,5,0.0745953290787089,0.121494169499239,0.401786069083055,0.00790039496715321,1.44846957911452e-05,2.41547297393757e-50,0.0196033480090625,0.0668690751641577,0.129137327871522,0.175393130527551
french,6,0.0072949217027319,0.127235284787886,0.313401330253563,0.827573515990352,0.000136456647834506,7.96097812609453e-22,-0.0583000260442123,0.0621870140008421,0.0728271504574302,0.191207211817213
french,7,0.0538498770366854,0.079651294119322,0.161384000279672,0.252183468637792,0.0900436417960658,0.000556805471183998,-0.0383702331241654,-0.0124700701908174,0.145160445538191,0.170431930974909
german,3,0.120307679927131,0.0971618055631533,0.487202024471588,0.0256570441244083,0.0718947100226907,6.59198797126743e-22,0.0147541442161712,-0.00866848481900542,0.223209356390038,0.200839607944506
german,4,0.134676841732838,0.197343996851193,0.559446930840712,9.47571817567514e-05,8.8913528314164e-09,6.16754294581668e-70,0.0674479846264035,0.1312562235178,0.200688259888693,0.261685474947846
german,5,0.198698103675473,0.192451130763678,0.622828179130832,5.70259522121133e-11,2.27747997729196e-10,9.19665959431394e-116,0.140385146585136,0.134011992465838,0.255637352449165,0.249556376448133
german,6,0.188802978916589,0.149141572822551,0.543638398728111,1.18923136323263e-08,7.18369395478138e-06,3.37365803649974e-70,0.12492521121166,0.0845456825790348,0.251122008983582,0.212489123913829
german,7,0.11472569086369,0.152275444521688,0.430207190792291,0.0143436251995188,0.00112108661588426,6.36244037823359e-22,0.0230400135814088,0.0612035302312386,0.204497611032711,0.240832821911508
