lang,length,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper,mu.mp.f,mu.prob.f,mu.prob.mp,var.mp.f,var.prob.f,var.prob.mp,z.mp.f,z.prob.f,z.prob.mp,p.mp.f,p.prob.f,p.prob.mp,sig.mp.f,sig.prob.f,sig.prob.mp
Dutch,3,0.213726438520363,0.129936212637615,0.557245014409517,4.1999168507207e-09,0.000390967450277632,1.13090002041392e-61,0.143919451857703,0.0584609581288519,0.281416915662837,0.200086095008962,0.000768373059492236,0.00132389370272517,0.473495738983307,0.0362075072081832,0.0360660575414201,0.0218879644386319,5.88159975323406,3.56602100984242,3.82627062745012,4.06319944044825e-09,0.000362442327844734,0.000130099259525243,*,*,*
Dutch,4,0.178107549723096,0.188950864763296,0.645231989729299,8.71628166457494e-12,4.19066690487987e-13,2.84256543637492e-171,0.127765304106689,0.13878727196547,0.227534401619209,0.238147315628176,-0.000302593344044919,-0.000536048314456214,0.611478908639061,0.0263716278782538,0.0259167698162122,0.0125910535518568,6.76523056865439,7.31136304491229,2.68071936563725,1.33097065555006e-11,2.64445971342112e-13,0.00734640962452983,*,*,*
Dutch,5,0.156059885488875,0.156760530151312,0.603557133108959,1.80336596574447e-08,1.55419734021582e-08,1.16239826001252e-128,0.102310448642586,0.103021093657411,0.208900721943877,0.209587491446255,-0.000449244529178218,-5.65698737310506e-05,0.581960111105987,0.0273466589027002,0.0283279030136574,0.0135771206927611,5.7231536245402,5.53578215618144,1.59069234867205,1.04564631684048e-08,3.09842485774371e-08,0.111678829703147,*,*,n.s
Dutch,6,0.0724690632826893,0.026816634261645,0.498924639721908,0.0438477332095421,0.456277820107034,5.9136765249064e-50,0.00200994660675087,-0.0437353959456164,0.14221218813536,0.0971025157968181,-0.0012517543439705,0.000204880702907113,0.452218643795043,0.0353303508357807,0.0345664809980653,0.0267073488127262,2.08661436647833,0.769871644158032,1.74880690158993,0.0369230075869874,0.441376035786793,0.0803244034173507,n.s,n.s,n.s
Dutch,7,0.030804915058904,0.0101148614733998,0.475764233404215,0.528475835795438,0.836066209420682,3.62756283508175e-25,-0.0649587080977168,-0.085540208652627,0.126006318273271,0.10558517043418,-0.00251885087421209,0.00157056871340619,0.377957041756807,0.0488435745341904,0.050050965027436,0.0471682633087494,0.682254856466115,0.170711848519004,2.07358051338866,0.495077813007213,0.8644503458228,0.0381182865167303,n.s,n.s,n.s
English,3,0.162228332967757,0.138484649824261,0.461323617874294,3.58029158153947e-08,2.66158835346965e-06,3.33055065218125e-61,0.10518380301453,0.0811016339854704,0.218208745208653,0.194952652732604,-0.000560246505233474,0.000264871871226838,0.422471636101791,0.0295725903251566,0.0285695766324454,0.0209769444584541,5.50471154819707,4.8380058175613,1.85212778960497,3.697731999517e-08,1.31148303892194e-06,0.0640074748545928,*,*,n.s
English,4,0.184401230795809,0.154370780966194,0.644797017442758,1.98382587158305e-13,8.41427524962307e-10,1.58912916859437e-184,0.136078242473566,0.105612122094291,0.231848859129088,0.202388936507195,-0.00029884500848181,-0.000107541694206499,0.59326297145676,0.025450124309487,0.0265995708174889,0.0138125228592468,7.2573349174346,5.80754944206968,3.73096548046604,3.947913487837e-13,6.33938347229426e-09,0.000190747361201627,*,*,*
English,5,0.133787587368789,0.159131319953406,0.597564185984615,1.11796700216511e-05,1.64927517991732e-07,1.17233819046168e-104,0.0744823800028863,0.10018418492405,0.192149789259568,0.216965262298727,0.0001588326680956,0.00101099984633973,0.525547251494067,0.0302587308847415,0.0309490370587245,0.0211491575853995,4.41620487024716,5.10905459859832,3.40519163469023,1.00448887080173e-05,3.23774789444465e-07,0.000661176384128946,*,*,*
English,6,0.115330594151814,0.159394519469412,0.389281307296601,0.0042789955617878,7.47963638607304e-05,1.40451297563095e-23,0.0364082087224809,0.0811646836353601,0.192823260514607,0.235672482880826,0.000118469731717892,-0.00210591524082895,0.331829289664325,0.0403352916536078,0.0392351465140271,0.0450167107882685,2.85636026657541,4.11621846887974,1.27623757103214,0.00428528583701513,3.85139260570469e-05,0.201871551098429,*,*,n.s
English,7,0.01043383219725,0.171154337211445,0.25041239681531,0.852736724300169,0.00215799476452265,5.97460117784663e-06,-0.0994921333795631,0.0625173668156812,0.120108188578593,0.275783023270892,-0.00192824950634592,0.00264833625516207,0.17177471510956,0.0559463361660463,0.0549793131696797,0.0649906992659408,0.22096320421959,3.06489825429852,1.20998362217902,0.82512108360698,0.00217744058853043,0.22628517745276,n.s,*,n.s
French,3,0.158486872824627,0.215130522210128,0.647815394767173,3.39276534512382e-05,1.53414080800821e-08,6.27985800205023e-82,0.0841953506472655,0.142136661614075,0.231026193608749,0.285797292517523,0.00206291807628037,0.00104068478659817,0.543914044184752,0.0394764728206048,0.0395258104804279,0.0235939559267021,3.96246025979051,5.41645660952458,4.4037274166827,7.41813577275504e-05,6.07917347587538e-08,1.06406627548081e-05,*,*,*
French,4,0.0661238139992848,0.126535344002993,0.514971479288841,0.0172335708433272,4.85356237137108e-06,9.53263248180272e-89,0.0117343997948998,0.072603755372159,0.120123112488769,0.179729103857761,-0.000871893806467351,-0.00108389166032382,0.464364276035017,0.0271670297994296,0.0274827452105976,0.0193723397704107,2.46606671028715,4.6436130992513,2.61234336448722,0.0136605889915357,3.4236843403647e-06,0.00899238883373707,n.s,*,*
French,5,0.0745953290787089,0.121494169499239,0.401786069083055,0.00790039496715321,1.44846957911452e-05,2.41547297393757e-50,0.0196033480090625,0.0668690751641577,0.129137327871522,0.175393130527551,-0.000481767863653341,-0.000214493126522816,0.357352384987647,0.0276698382591456,0.0272407813316768,0.0259457403622978,2.7133189662772,4.46788442460106,1.71256181072311,0.00666129541426573,7.89969640899278e-06,0.0867931840762451,*,*,n.s
French,6,0.0072949217027319,0.127235284787886,0.313401330253563,0.827573515990352,0.000136456647834506,7.96097812609453e-22,-0.0583000260442123,0.0621870140008421,0.0728271504574302,0.191207211817213,0.00091750942723101,-0.000364628456243871,0.287381308476118,0.0342918470779014,0.0323315662235824,0.0387741994619088,0.185974592182603,3.94660476271822,0.671065351149453,0.852464686222619,7.92672466226249e-05,0.50217889868557,n.s,*,n.s
French,7,0.0538498770366854,0.079651294119322,0.161384000279672,0.252183468637792,0.0900436417960658,0.000556805471183998,-0.0383702331241654,-0.0124700701908174,0.145160445538191,0.170431930974909,0.00182545586780471,-0.000625729893585473,0.155166459091132,0.0482635634132232,0.0449395461323676,0.0567482473211319,1.0779233336639,1.78633366203688,0.109563580939437,0.281067971357428,0.07404524964411,0.91275549491981,n.s,n.s,n.s
