lang,length,lex,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper,mu.mp.f,mu.prob.f,var.mp.f,var.prob.f,z.mp.f,z.prob.f,p.mp.f,p.prob.f,sig.mp.f,sig.prob.f
dutch,3,-1,0.213726438520363,0.129936212637615,0.557245014409517,4.1999168507207e-09,0.000390967450277632,1.13090002041392e-61,0.143919451857703,0.0584609581288519,0.281416915662837,0.200086095008962,-0.00052341248772996,0.00102486230783343,0.0377680490022192,0.0369115546924681,5.67278047630959,3.49243892336202,1.40498223633026e-08,0.000478631040963739,*,*
dutch,4,-1,0.178107549723096,0.188950864763296,0.645231989729299,8.71628166457494e-12,4.19066690487987e-13,2.84256543637492e-171,0.127765304106689,0.13878727196547,0.227534401619209,0.238147315628176,-0.000540356292116193,-0.000370533797246065,0.0263371741521846,0.0256744155674829,6.78310835410539,7.37393215681687,1.17617353582554e-11,1.65667518218812e-13,*,*
dutch,5,-1,0.156059885488875,0.156760530151312,0.603557133108959,1.80336596574447e-08,1.55419734021582e-08,1.16239826001252e-128,0.102310448642585,0.103021093657411,0.208900721943877,0.209587491446255,-0.00148193007251711,-0.00101665731285688,0.0275907965476027,0.0282620390543662,5.70994082354902,5.5826540739209,1.13015462603551e-08,2.36875600372913e-08,*,*
dutch,6,-1,0.0724690632826893,0.026816634261645,0.498924639721908,0.0438477332095421,0.456277820107034,5.9136765249064e-50,0.00200994660675087,-0.0437353959456164,0.14221218813536,0.0971025157968181,0.000387950223075889,0.0006042788966197,0.036723144492221,0.035153248894818,1.96282518984403,0.74565953899326,0.0496664897814689,0.455873106692186,n.s,n.s
dutch,7,-1,0.030804915058904,0.0101148614733998,0.475764233404215,0.528475835795438,0.836066209420682,3.62756283508175e-25,-0.0649587080977168,-0.085540208652627,0.126006318273271,0.10558517043418,-0.000497496065680412,-0.000700622895601986,0.0480835251398165,0.0488235572193206,0.651000754074577,0.221521842835365,0.515046000112932,0.824686130907405,n.s,n.s
english,3,-1,0.162228332967757,0.138484649824261,0.461323617874294,3.58029158153947e-08,2.66158835346965e-06,3.33055065218125e-61,0.10518380301453,0.0811016339854704,0.218208745208653,0.194952652732604,-0.00115351426966555,-0.000617366137085212,0.029750909057112,0.0296678160238086,5.49165899179023,4.68865034924431,3.98175642876946e-08,2.75012822946666e-06,*,*
english,4,-1,0.184401230795809,0.154370780966194,0.644797017442758,1.98382587158305e-13,8.41427524962307e-10,1.58912916859437e-184,0.136078242473566,0.105612122094291,0.231848859129088,0.202388936507195,0.000757198316541215,0.000627223850559635,0.0249466970923109,0.0256952248788419,7.36145678122138,5.98335129739341,1.8191391455029e-13,2.18592603425687e-09,*,*
english,5,-1,0.133787587368789,0.159131319953406,0.597564185984615,1.11796700216511e-05,1.64927517991732e-07,1.17233819046168e-104,0.0744823800028864,0.10018418492405,0.192149789259568,0.216965262298727,-0.00224479248787781,0.000218485843198056,0.0308935486051329,0.0308004318776869,4.40326171639814,5.15943525536506,1.06635395744407e-05,2.4769586082659e-07,*,*
english,6,-1,0.115330594151814,0.159394519469412,0.389281307296601,0.0042789955617878,7.47963638607304e-05,1.40451297563095e-23,0.0364082087224809,0.0811646836353601,0.192823260514607,0.235672482880826,-0.00146033585012184,-0.000131754781714965,0.0405957000664439,0.0392004957627154,2.87692858629809,4.06949634557573,0.00401566463221065,4.71148786348723e-05,*,*
english,7,-1,0.01043383219725,0.171154337211445,0.25041239681531,0.852736724300169,0.00215799476452265,5.97460117784663e-06,-0.099492133379563,0.0625173668156812,0.120108188578593,0.275783023270892,-0.00199595033421623,-0.000656005169507421,0.0563428830118017,0.054030353756375,0.220609629238579,3.17988557238866,0.825396402736189,0.00147333218438326,n.s,*
french,3,-1,0.158486872824627,0.215130522210128,0.647815394767173,3.39276534512382e-05,1.53414080800821e-08,6.27985800205023e-82,0.0841953506472654,0.142136661614075,0.231026193608749,0.285797292517523,-0.000594394952998497,0.00058191111230015,0.0380786142027633,0.0397957494078428,4.17770633486134,5.39124439896953,2.94463499307618e-05,6.99714326455839e-08,*,*
french,4,-1,0.0661238139992848,0.126535344002993,0.514971479288841,0.0172335708433272,4.85356237137108e-06,9.53263248180272e-89,0.0117343997948999,0.072603755372159,0.120123112488769,0.179729103857761,0.000160430115586225,-0.000735117240167565,0.0283143641184552,0.0283174322718155,2.329679155348,4.49442096379034,0.0198231150511803,6.97595067005e-06,n.s,*
french,5,-1,0.0745953290787089,0.121494169499239,0.401786069083055,0.00790039496715321,1.44846957911452e-05,2.41547297393757e-50,0.0196033480090625,0.0668690751641577,0.129137327871522,0.175393130527551,6.28731952307395e-05,-0.000639441078694136,0.0290674184423678,0.027201356443588,2.56412367789917,4.48998235919675,0.0103436679379349,7.12290724171264e-06,n.s,*
french,6,-1,0.0072949217027319,0.127235284787886,0.313401330253563,0.827573515990352,0.000136456647834506,7.96097812609453e-22,-0.0583000260442123,0.0621870140008422,0.0728271504574302,0.191207211817213,-0.000246685612774464,-0.00188085747002567,0.0333648560609384,0.0330311878618983,0.226034462781203,3.90891610673342,0.821174616447009,9.27111500324474e-05,n.s,*
french,7,-1,0.0538498770366854,0.079651294119322,0.161384000279672,0.252183468637792,0.0900436417960658,0.000556805471183998,-0.0383702331241654,-0.0124700701908174,0.145160445538191,0.170431930974909,-0.000777664321267947,-0.00106520351597132,0.0462538763186474,0.0450406984123017,1.18103704393593,1.79207917462594,0.237588007663113,0.0731202842905574,n.s,n.s
german,3,-1,0.120307679927131,0.0971618055631533,0.487202024471588,0.0256570441244083,0.0718947100226907,6.59198797126743e-22,0.0147541442161712,-0.00866848481900542,0.223209356390038,0.200839607944506,-0.000570670897011381,-0.00135093525473687,0.0529065208818211,0.0533550439592572,2.28475335004832,1.84636228381924,0.0223272944402187,0.0648396197331674,n.s,n.s
german,4,-1,0.134676841732838,0.197343996851193,0.559446930840712,9.47571817567514e-05,8.8913528314164e-09,6.16754294581668e-70,0.0674479846264035,0.1312562235178,0.200688259888693,0.261685474947846,-0.00103167837751339,-0.000411996280191645,0.0344473726982709,0.0350778559896982,3.93958985781123,5.63763056640242,8.16210270158638e-05,1.7240587754458e-08,*,*
german,5,-1,0.198698103675473,0.192451130763678,0.622828179130832,5.70259522121133e-11,2.27747997729196e-10,9.19665959431394e-116,0.140385146585136,0.134011992465838,0.255637352449165,0.249556376448133,0.000161960381133365,-6.02466194872498e-05,0.0314150553720398,0.030293055687624,6.31977696499755,6.35496726934069,2.61941081162358e-10,2.08471005155151e-10,*,*
german,6,-1,0.188802978916589,0.149141572822551,0.543638398728111,1.18923136323263e-08,7.18369395478138e-06,3.37365803649974e-70,0.12492521121166,0.0845456825790348,0.251122008983582,0.212489123913829,-0.000863396324112946,-0.0021042879805401,0.0342018029898452,0.0330132783940692,5.54550809198613,4.5813644739464,2.93101779315733e-08,4.61951932124251e-06,*,*
german,7,-1,0.11472569086369,0.152275444521688,0.430207190792291,0.0143436251995188,0.00112108661588426,6.36244037823359e-22,0.0230400135814088,0.0612035302312385,0.204497611032711,0.240832821911508,-0.00271522153173151,-0.00410019862377671,0.0462602558260696,0.0459157627127432,2.53870002009887,3.40570718870069,0.0111265180431085,0.000659929175462034,n.s,*
