word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
di	1034556.0	-3.13	36	48	233	39	39	39	39	195	6	6	6	6	2
1	771310.0	-3.78	0	23	24	24	24	24	24	58	58	58	58	58	1
bi	639592.0	-3.02	36	51	361	34	34	34	34	195	11	11	11	11	2
qv	507073.0	-4.57	8	8	27	1	1	1	1	68	1	1	1	1	2
{nd	478558.0	-3.41	6	13	85	17	1	1	1	327	67	12	12	12	3
in	308353.0	-2.59	24	42	96	34	34	34	34	484	158	158	158	158	2
h{v	226081.0	-4.57	18	18	199	30	2	2	2	68	2	1	1	1	3
it	185925.0	-3.43	26	41	96	3	3	3	3	751	163	163	163	163	2
#i	178548.0	-3.56	42	60	40	14	14	14	14	195	35	35	35	35	2
tu	157574.0	-3.48	30	34	323	8	8	8	8	86	3	3	3	3	2
hi	153266.0	-3.81	38	50	199	22	22	22	22	195	1	1	1	1	2
f$r	139640.0	-4.0	46	48	267	18	1	1	1	332	32	1	1	1	3
wid	119130.0	-3.37	56	67	138	37	4	4	4	327	74	7	7	7	3
si	109339.0	-2.98	40	57	784	85	85	85	85	195	5	5	5	5	2
ju	107079.0	-3.37	26	39	109	12	12	12	12	86	31	31	31	31	2
qn	101673.0	-3.69	16	25	27	3	3	3	3	484	28	28	28	28	2
hiz	97967.0	-4.09	36	38	199	22	1	1	1	104	36	1	1	1	3
d1	94712.0	-3.47	32	39	233	14	14	14	14	58	2	2	2	2	2
{t	93837.0	-3.28	20	35	85	7	7	7	7	751	27	27	27	27	2
nqt	85681.0	-3.92	42	43	108	11	1	1	1	751	26	2	2	2	3
b#i	78581.0	-3.67	46	52	361	32	11	11	11	195	35	2	2	2	3
d{t	73054.0	-4.15	42	44	233	16	1	1	1	751	27	1	1	1	3
frqm	71093.0	-4.82	10	10	267	36	7	1	1	212	6	2	1	1	4
$r	70844.0	-3.0	10	27	32	6	6	6	6	332	32	32	32	32	2
s1	70370.0	-3.09	36	53	784	15	15	15	15	58	5	5	5	5	2
{z	70050.0	-4.06	12	13	85	2	2	2	2	104	3	3	3	3	2
du	69785.0	-3.59	30	34	233	6	6	6	6	86	2	2	2	2	2
h3r	67777.0	-3.79	24	25	199	11	1	1	1	332	16	1	1	1	3
wil	66002.0	-3.57	68	77	138	37	4	4	4	278	68	6	6	6	3
$l	56595.0	-3.57	14	25	32	3	3	3	3	278	22	22	22	22	2
wij	56545.0	-3.8	40	45	138	37	1	1	1	109	19	3	3	3	3
wi	55814.0	-3.9	36	51	138	37	37	37	37	195	2	2	2	2	2
{n	55694.0	-3.15	18	32	85	17	17	17	17	484	27	27	27	27	2
de@r	55162.0	-3.86	28	30	233	27	2	1	1	332	261	29	1	1	4
de@	49541.0	-5.0	16	17	233	27	2	2	2	181	2	1	1	1	3
if	48230.0	-3.78	20	27	96	2	2	2	2	75	20	20	20	20	2
g5	45095.0	-3.06	28	38	204	7	7	7	7	166	16	16	16	16	2
m#i	44566.0	-3.68	38	46	280	38	10	10	10	195	35	1	1	1	3
s5	44442.0	-3.18	34	41	784	11	11	11	11	166	5	5	5	5	2
him	44174.0	-4.27	44	45	199	22	1	1	1	212	42	1	1	1	3
n5	43985.0	-3.06	30	37	108	9	9	9	9	166	14	14	14	14	2
wqt	43490.0	-3.52	44	47	138	21	2	2	2	751	26	3	3	3	3
#ut	42379.0	-3.93	28	39	40	5	1	1	1	751	49	20	20	20	3
mi	40660.0	-3.19	40	49	280	42	42	42	42	195	5	5	5	5	2
hu	39955.0	-3.4	32	39	199	7	7	7	7	86	1	1	1	1	2
m1k	39040.0	-3.97	42	44	280	16	1	1	1	298	18	1	1	1	3
dem	38749.0	-3.85	30	31	233	27	2	2	2	212	8	2	2	2	3
get	35219.0	-3.79	32	34	204	4	2	2	2	751	30	2	2	2	3
@b#ut	33576.0	-6.1	0	1	75	8	1	1	1	751	49	20	2	1	5
vp	33568.0	-3.82	6	9	115	1	1	1	1	540	25	25	25	25	2
t#im	32847.0	-4.55	22	24	323	24	12	1	1	212	42	13	1	1	4
kvm	32309.0	-3.66	40	42	535	25	4	4	4	212	23	3	3	3	3
t1k	31971.0	-3.96	32	34	323	9	1	1	1	298	18	2	2	2	3
svm	30818.0	-3.56	40	42	784	28	5	5	5	212	23	1	1	1	3
den	30767.0	-3.8	46	49	233	27	5	5	5	484	20	1	1	1	3
m{n	28272.0	-3.41	46	49	280	45	12	12	12	484	27	1	1	1	3
d{n	27950.0	-3.8	44	46	233	16	4	4	4	484	27	2	2	2	3
#u@r	27541.0	-4.49	10	13	40	5	1	1	1	332	261	16	6	6	4
n#u	27172.0	-4.22	20	22	108	12	3	3	3	86	14	1	1	1	3
vd@r	26843.0	-5.07	6	8	115	1	1	1	1	332	261	32	3	3	4
j$r	26695.0	-4.03	34	35	109	4	1	1	1	332	32	1	1	1	3
tink	26281.0	-4.2	26	31	323	30	8	2	2	298	45	18	2	2	4
its	26278.0	-5.3	0	2	96	3	1	1	1	407	5	3	3	3	3
wvn	24424.0	-4.29	30	31	138	3	2	2	2	484	13	1	1	1	3
m1	24231.0	-3.57	36	45	280	16	16	16	16	58	1	1	1	1	2
gud	23643.0	-4.13	28	30	204	7	1	1	1	327	24	1	1	1	3
ji@r	23331.0	-4.4	34	35	109	22	1	1	1	332	261	53	1	1	4
ivh	22428.0	-4.88	6	7	96	5	1	1	1	59	9	1	1	1	3
luk	22425.0	-3.93	36	38	192	15	2	2	2	298	13	2	2	2	3
pipp	22423.0	-4.58	10	12	400	38	3	1	1	540	27	5	1	1	4
liv	22389.0	-4.04	32	38	192	45	2	2	2	68	25	4	4	4	3
w1	21915.0	-3.76	32	42	138	10	10	10	10	58	2	2	2	2	2
giv	21228.0	-4.33	12	14	204	13	1	1	1	68	25	1	1	1	3
b{k	21189.0	-3.89	52	54	361	33	1	1	1	298	24	1	1	1	3
hi@r	21080.0	-4.0	34	38	199	22	2	2	2	332	261	53	1	1	4
eni	20635.0	-4.71	2	5	42	7	2	2	2	195	16	2	2	2	3
diz	20562.0	-3.89	36	39	233	39	3	3	3	104	36	1	1	1	3
m$r	20499.0	-3.47	38	40	280	11	2	2	2	332	32	3	3	3	3
wud	18777.0	-4.05	34	36	138	9	1	1	1	327	24	1	1	1	3
nju	18339.0	-4.18	16	20	108	5	5	5	5	86	31	7	7	7	3
j#ild	18213.0	-5.47	4	6	109	17	6	1	1	327	26	9	3	1	5
tru	18159.0	-4.02	12	17	323	84	3	3	3	86	11	3	3	3	3
tel	18089.0	-3.61	32	33	323	30	2	2	2	278	27	4	4	4	3
wqnt	18014.0	-4.71	6	8	138	21	4	2	2	751	106	2	1	1	4
f#ind	17880.0	-5.11	14	16	267	21	11	4	1	327	67	11	9	1	5
d#un	17262.0	-3.97	14	17	233	26	5	1	1	484	37	9	1	1	4
stil	17191.0	-4.05	32	36	784	130	14	2	2	278	68	4	2	2	4
5v@r	16979.0	-4.63	6	6	27	3	2	1	1	332	261	10	1	1	4
fil	16950.0	-3.35	58	67	267	32	8	8	8	278	68	1	1	1	3
svj	16246.0	-3.96	22	22	784	28	1	1	1	109	6	1	1	1	3
sud	16215.0	-4.14	36	40	784	11	1	1	1	327	24	1	1	1	3
meni	16133.0	-4.45	6	7	280	23	4	1	1	195	16	2	1	1	4
juz	16006.0	-4.07	14	19	109	12	2	2	2	104	19	6	6	6	3
tin	15562.0	-3.28	58	67	323	30	8	8	8	484	158	15	15	15	3
mvst	15425.0	-3.93	22	23	280	34	9	4	4	751	90	10	1	1	4
$ls5	15344.0	-6.07	0	0	32	3	1	1	1	166	5	1	1	1	4
wel	15290.0	-3.38	38	46	138	17	5	5	5	278	27	4	4	4	3
nev@r	15233.0	-4.89	4	5	108	14	2	1	1	332	261	10	4	1	5
sim	15098.0	-3.34	46	51	784	85	9	9	9	212	42	2	2	2	3
5n	14861.0	-3.46	18	25	27	3	3	3	3	484	22	22	22	22	2
d5z	14683.0	-4.48	20	21	233	9	1	1	1	104	8	1	1	1	3
5ld	14607.0	-4.6	0	7	27	1	1	1	1	327	26	10	10	10	3
wum@n	14591.0	-5.15	0	0	138	9	2	1	1	484	106	15	3	1	5
vs	14551.0	-4.23	12	23	115	1	1	1	1	407	18	18	18	18	2
gr1t	14442.0	-4.01	20	23	204	58	10	1	1	751	26	7	1	1	4
l#if	14096.0	-4.35	18	21	192	31	15	1	1	75	20	5	1	1	4
tri	13971.0	-3.43	12	21	323	84	15	15	15	195	37	2	2	2	3
#sk	13719.0	-4.75	2	8	40	4	1	1	1	298	22	6	6	6	3
#ft@r	13152.0	-5.38	0	0	40	2	2	1	1	332	261	43	2	1	5
qf	13084.0	-3.7	12	16	27	4	4	4	4	75	4	4	4	4	2
put	13006.0	-3.53	48	49	400	8	1	1	1	751	49	1	1	1	3
@gen	12889.0	-5.54	0	0	75	4	1	1	1	484	20	1	1	1	4
w3ld	12629.0	-4.75	4	6	138	7	2	1	1	327	26	1	1	1	4
f3st	12611.0	-5.01	6	7	267	7	1	1	1	751	90	2	1	1	4
h{nd	12584.0	-3.98	10	13	199	30	6	3	3	327	67	12	1	1	4
bitwin	12481.0	-6.57	0	0	361	34	5	1	1	484	158	8	2	1	6
tr#i	12074.0	-4.02	8	16	323	84	13	9	9	195	35	7	1	1	4
b5t	11674.0	-4.35	40	45	361	13	1	1	1	751	20	1	1	1	3
