word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
d2	25220.86	-3.88	32	33	252	2	2	2	2	24	1	1	1	1	2
sa	8991.37	-3.01	34	42	529	68	68	68	68	203	9	9	9	9	2
le	8729.9	-2.89	38	47	161	20	20	20	20	449	39	39	39	39	2
yn	7907.85	-3.59	6	11	32	5	5	5	5	243	11	11	11	11	2
pur	7078.55	-3.62	30	34	534	22	6	6	6	768	26	1	1	1	3
de	6199.43	-2.69	40	46	252	76	76	76	76	449	18	18	18	18	2
ki	5344.98	-3.26	20	27	560	10	10	10	10	304	11	11	11	11	2
m2	4929.44	-3.73	30	33	354	3	3	3	3	24	2	2	2	2	2
dy	4394.7	-3.46	36	40	252	7	7	7	7	89	7	7	7	7	2
avek	3704.89	-5.52	4	5	331	27	5	1	1	166	18	3	1	1	4
mwa	3675.68	-3.33	26	31	354	9	7	7	7	203	47	3	3	3	3
isi	2411.21	-4.75	10	11	55	6	1	1	1	304	34	3	3	3	3
ma	2346.9	-2.68	34	41	354	131	131	131	131	203	16	16	16	16	2
as	2152.88	-2.87	20	33	331	26	26	26	26	339	47	47	47	47	2
alor	1777.65	-5.03	6	8	331	29	2	1	1	768	56	7	1	1	4
osi	1402.33	-4.42	6	7	140	10	2	2	2	304	34	3	3	3	3
zame	1360.22	-5.4	2	2	103	14	1	1	1	449	15	2	1	1	4
@kor	1176.94	-5.31	2	4	96	7	1	1	1	768	56	4	1	1	4
tuzur	1072.36	-5.36	0	0	270	16	1	1	1	768	26	4	1	1	5
vi	986.59	-3.19	18	26	155	33	33	33	33	304	3	3	3	3	2
vj5	944.81	-3.42	10	11	155	7	1	1	1	167	30	7	7	7	3
mersi	936.01	-5.29	2	2	354	60	12	2	1	304	34	7	2	1	5
kom@	922.93	-4.46	10	13	560	108	17	3	3	118	13	3	1	1	4
mem	907.69	-4.1	14	17	354	60	3	3	3	147	20	1	1	1	3
vy	905.21	-4.01	30	30	155	2	2	2	2	89	2	2	2	2	2
krwa	904.45	-3.92	6	9	560	62	4	4	4	203	47	13	2	2	4
kwa	904.12	-3.51	26	29	560	7	4	4	4	203	47	3	3	3	3
fwa	899.25	-3.9	30	32	273	6	2	2	2	203	47	2	2	2	3
p2	894.78	-3.86	32	35	534	3	3	3	3	24	1	1	1	1	2
dwa	894.69	-3.81	28	31	252	4	3	3	3	203	47	1	1	1	3
kelk	884.61	-6.3	0	1	560	10	2	2	2	166	3	1	1	1	4
per	879.31	-2.71	42	52	534	77	37	37	37	768	156	10	10	10	3
tro	859.54	-3.71	18	25	270	81	7	7	7	245	30	5	5	5	3
dj2	852.91	-3.95	4	6	252	13	1	1	1	24	7	2	2	2	3
se	842.18	-2.41	38	52	529	75	75	75	75	449	43	43	43	43	2
m)d	823.62	-4.17	6	9	354	7	2	2	2	138	6	1	1	1	3
fam	806.57	-4.08	24	25	273	36	3	3	3	147	20	1	1	1	3
syr	801.64	-3.07	28	30	529	42	6	6	6	768	81	7	7	7	3
tu	797.55	-3.26	36	41	270	16	16	16	16	55	6	6	6	6	2
om	784.86	-3.34	14	23	140	7	7	7	7	147	34	34	34	34	2
k2	770.02	-3.93	28	28	560	1	1	1	1	24	1	1	1	1	2
b2zw5	758.04	-5.04	0	0	322	3	2	1	1	167	13	3	1	1	5
em	751.29	-3.13	8	12	240	10	10	10	10	147	20	20	20	20	2
vwala	726.44	-6.19	0	1	155	10	9	2	1	203	19	3	1	1	5
v2	701.19	-3.85	26	27	155	1	1	1	1	24	4	4	4	4	2
avwar	674.24	-4.96	4	7	331	27	2	2	1	768	128	49	11	2	5
otr	668.48	-4.79	12	17	140	15	2	2	2	768	62	3	3	3	3
ave	661.88	-3.98	10	14	331	27	5	5	5	449	16	3	3	3	3
purkwa	655.75	-6.94	0	0	534	22	6	1	1	203	47	3	1	1	6
zyst	653.49	-4.9	6	6	103	18	3	2	2	338	45	4	1	1	4
zur	635.22	-3.88	24	25	103	7	3	3	3	768	26	4	4	4	3
fij	627.59	-4.16	18	18	273	30	3	3	3	107	25	1	1	1	3
boku	626.0	-7.1	2	2	322	25	3	1	1	55	3	1	1	1	4
d)k	612.51	-5.45	4	5	252	4	1	1	1	166	2	1	1	1	3
z@	594.29	-3.19	28	32	103	10	10	10	10	118	13	13	13	13	2
apre	593.92	-4.49	8	11	331	35	8	3	3	449	53	4	1	1	4
m(sj2	583.45	-6.78	0	0	354	7	1	1	1	24	7	1	1	1	5
kom	577.64	-3.13	30	35	560	108	17	17	17	147	34	1	1	1	3
person	577.6	-6.04	0	0	534	77	37	11	2	243	42	2	1	1	6
p(ti	573.72	-6.23	0	0	534	6	1	1	1	304	25	1	1	1	4
mez)	570.33	-5.15	4	4	354	60	1	1	1	203	18	6	1	1	4
b)zur	569.88	-6.11	0	0	322	6	1	1	1	768	26	4	1	1	5
swar	556.18	-4.08	14	17	529	8	5	1	1	768	128	49	6	6	4
p2r	551.83	-4.58	12	13	534	3	1	1	1	768	1	1	1	1	3
mam@	537.44	-5.13	2	2	354	131	3	1	1	118	13	2	1	1	4
we	533.02	-3.63	24	33	5	3	3	3	3	449	11	11	11	11	2
n)	528.76	-3.57	32	34	93	3	3	3	3	203	10	10	10	10	2
p@s	524.94	-3.7	18	21	534	14	1	1	1	339	57	3	3	3	3
ple	499.91	-3.46	22	28	534	37	5	5	5	449	39	3	3	3	3
vit	491.64	-3.79	26	31	155	33	3	3	3	338	42	3	3	3	3
fis	487.6	-3.43	28	34	273	30	7	7	7	339	56	8	8	8	3
d(p8i	483.95	-5.5	0	0	252	18	1	1	1	304	23	3	1	1	5
mw5	478.75	-3.89	14	15	354	9	1	1	1	167	13	2	2	2	3
at@	478.32	-4.79	10	12	331	19	2	2	2	118	11	2	2	2	3
er	473.5	-3.02	12	25	240	14	14	14	14	768	156	156	156	156	2
pr@dr	465.77	-5.1	0	2	534	108	1	1	1	768	30	13	4	3	5
parl	451.68	-4.72	12	15	534	113	49	1	1	409	4	1	1	1	4
kone	423.6	-4.06	16	16	560	108	5	2	2	449	37	6	1	1	4
savwar	421.1	-5.7	0	1	529	68	3	1	1	768	128	49	11	2	6
9r	415.4	-3.88	10	15	5	1	1	1	1	768	74	74	74	74	2
mom@	403.25	-5.04	8	9	354	48	3	1	1	118	13	3	1	1	4
don	401.06	-3.84	28	30	252	24	1	1	1	243	42	3	3	3	3
fe	393.01	-3.09	36	42	273	24	24	24	24	449	12	12	12	12	2
problem	391.2	-7.37	0	0	534	108	52	1	1	147	20	2	2	1	7
k)bj5	390.58	-4.73	4	4	560	108	5	1	1	167	30	2	1	1	5
partir	388.25	-4.95	2	2	534	113	49	9	5	768	84	12	3	2	6
t@	380.34	-3.16	36	41	270	19	19	19	19	118	11	11	11	11	2
travaj	367.43	-6.39	0	0	270	81	17	4	1	107	31	1	1	1	6
ede	362.77	-4.93	12	15	240	3	1	1	1	449	18	3	3	3	3
ozurd8i	360.17	-8.74	0	0	140	5	1	1	1	304	23	4	1	1	7
famij	357.75	-6.03	2	2	273	36	3	2	1	107	25	2	1	1	5
tar	350.38	-3.39	40	46	270	32	5	5	5	768	128	10	10	10	3
kestj)	293.63	-8.04	0	0	560	10	2	1	1	203	36	1	1	1	6
ga	289.63	-3.22	30	39	155	34	34	34	34	203	3	3	3	3	2
pyt5	287.83	-4.33	10	11	534	17	3	1	1	167	26	3	1	1	4
