word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
der	110555.0	-4.55	18	21	118	20	3	3	3	373	14	1	1	1	3
unt	25287.0	-3.29	2	10	37	18	4	4	4	508	89	15	15	15	3
zain	19560.0	-4.09	24	27	142	24	10	2	2	1218	57	25	1	1	4
in	18536.0	-2.73	10	20	67	36	36	36	36	1218	57	57	57	57	2
ain	16732.0	-3.34	18	33	90	41	28	28	28	1218	57	25	25	25	3
verd@n	11596.0	-4.92	4	5	184	39	13	1	1	1218	861	42	4	1	6
=u	10360.0	-3.69	14	15	95	11	11	11	11	23	1	1	1	1	2
hab@n	10003.0	-3.56	12	12	207	37	2	1	1	1218	861	46	7	4	5
zi	9567.0	-3.42	12	17	142	21	21	21	21	95	4	4	4	4	2
fon	9387.0	-3.69	18	18	259	35	2	2	2	1218	47	2	2	2	3
mit	8608.0	-3.48	20	24	247	35	6	6	6	508	35	2	2	2	3
nixt	8022.0	-4.17	14	15	89	13	3	2	2	508	47	15	1	1	4
er	8005.0	-3.35	22	34	93	26	26	26	26	373	14	14	14	14	2
es	7668.0	-3.57	18	21	93	8	8	8	8	210	7	7	7	7	2
zix	7537.0	-3.46	10	12	142	21	1	1	1	121	74	4	4	4	3
auf	7410.0	-4.28	12	12	90	22	2	2	2	48	4	1	1	1	3
ix	7172.0	-3.82	4	8	67	1	1	1	1	121	74	74	74	74	2
fyr	6616.0	-4.06	12	13	259	9	4	4	4	373	4	1	1	1	3
diz@r	5979.0	-4.89	2	2	118	24	3	2	1	373	230	6	3	1	5
d&s	5912.0	-4.58	18	20	118	9	1	1	1	210	17	1	1	1	3
&n	5008.0	-3.13	12	19	129	37	37	37	37	1218	16	16	16	16	2
&ls	4846.0	-4.38	12	15	129	24	1	1	1	210	6	2	2	2	3
aux	4845.0	-3.83	10	13	90	22	1	1	1	121	10	7	7	7	3
k/n@n	4203.0	-4.45	4	4	456	2	1	1	1	1218	861	67	2	1	5
vir	4190.0	-3.55	26	29	184	39	4	4	4	373	25	3	3	3	3
aus	3880.0	-3.4	22	28	90	22	11	11	11	210	40	10	10	10	3
vi	3619.0	-3.89	12	17	184	39	39	39	39	95	1	1	1	1	2
ab@r	3490.0	-4.15	8	8	90	3	3	1	1	373	230	16	2	2	4
m&n	3484.0	-3.51	18	22	247	53	12	12	12	1218	16	2	2	2	3
nax	3476.0	-3.99	6	7	89	14	2	2	2	121	3	1	1	1	3
zo	3380.0	-3.47	12	15	142	25	25	25	25	44	2	2	2	2	2
nox	3199.0	-4.17	14	14	89	17	1	1	1	121	7	1	1	1	3
bai	2994.0	-4.01	10	15	263	20	9	9	9	95	16	1	1	1	3
nur	2899.0	-3.98	12	15	89	8	1	1	1	373	21	2	2	2	3
um	2859.0	-3.51	4	7	37	3	3	3	3	111	33	33	33	33	2
yb@r	2793.0	-3.82	10	10	9	7	7	5	5	373	230	16	1	1	4
&l	2684.0	-3.19	12	21	129	24	24	24	24	286	14	14	14	14	2
for	2488.0	-3.01	22	25	259	35	18	18	18	373	38	2	2	2	3
mys@n	2400.0	-4.13	6	7	247	15	2	1	1	1218	861	63	4	1	5
durx	2398.0	-5.12	2	2	118	12	3	2	2	121	4	2	1	1	4
ven	2364.0	-4.13	22	26	184	39	4	4	4	1218	11	1	1	1	3
ja	2352.0	-3.32	14	16	43	6	6	6	6	78	3	3	3	3	2
ir	2288.0	-3.52	14	25	67	5	5	5	5	373	25	25	25	25	2
od@r	2225.0	-4.04	12	14	60	3	3	1	1	373	230	32	2	2	4
jar	2163.0	-4.09	14	16	43	6	1	1	1	373	27	1	1	1	3
fil	2108.0	-3.41	14	17	259	28	9	9	9	286	29	2	2	2	3
ain@r	2072.0	-4.52	6	7	90	41	28	1	1	373	230	17	3	2	5
zag@n	2043.0	-4.23	14	15	142	24	1	1	1	1218	861	72	14	1	5
v&s	1882.0	-3.94	20	23	184	37	3	3	3	210	17	2	2	2	3
zol@n	1871.0	-4.03	10	11	142	25	5	2	1	1218	861	46	10	1	5
d&n	1802.0	-4.5	26	27	118	9	2	2	2	1218	16	1	1	1	3
gros	1771.0	-4.05	14	16	234	45	8	3	3	210	24	5	1	1	4
vol@n	1755.0	-3.94	20	21	184	14	7	2	1	1218	861	46	10	1	5
geb@n	1729.0	-3.73	12	14	234	22	1	1	1	1218	861	46	10	1	5
bis	1728.0	-3.57	26	27	263	25	3	3	3	210	49	3	3	3	3
kom@n	1684.0	-3.91	4	4	456	86	12	1	1	1218	861	34	3	3	5
&nd@r@r	1624.0	-7.39	0	0	129	37	2	1	1	373	230	2	1	1	7
zain@	1591.0	-4.47	12	14	142	24	10	2	1	684	81	21	4	1	5
ir@	1550.0	-3.88	4	6	67	5	1	1	1	684	33	4	4	4	3
da	1536.0	-3.34	14	16	118	9	9	9	9	78	4	4	4	4	2
son	1458.0	-4.17	20	21	467	14	1	1	1	1218	47	1	1	1	3
unt@r	1458.0	-4.51	4	5	37	18	4	3	2	373	230	68	5	2	5
geg@n	1416.0	-3.68	16	18	234	22	4	4	4	1218	861	72	15	2	5
noy	1368.0	-4.43	10	12	89	17	2	2	2	11	9	2	2	2	3
m&x@n	1359.0	-3.85	6	6	247	53	2	1	1	1218	861	43	7	1	5
gut	1317.0	-4.12	8	10	234	9	1	1	1	508	22	1	1	1	3
g&n=	1312.0	-4.57	4	4	234	25	3	1	1	53	10	6	1	1	4
vid@r	1283.0	-4.08	8	8	184	39	4	3	3	373	230	32	7	1	5
kain	1274.0	-4.33	24	28	456	30	5	2	2	1218	57	25	1	1	4
dox	1264.0	-3.64	18	19	118	16	2	2	2	121	7	2	2	2	3
je=t	1253.0	-4.33	2	2	43	11	2	1	1	508	4	2	1	1	4
ge@n	1227.0	-4.01	8	11	234	22	1	1	1	1218	861	11	1	1	4
hir	1218.0	-3.55	24	28	207	19	5	5	5	373	25	1	1	1	3
