code,wikilang,family,Indo
mg,Malagasy,Afro-Asiatic,non Indo-European
sq,Albanian,Albanian,Indo-European
mn,Mongolian,Altaic,non Indo-European
az,Azerbaijani,Altaic,non Indo-European
ba,Bashkir,Altaic,non Indo-European
cv,Chuvash,Altaic,non Indo-European
kk,Kazakh,Altaic,non Indo-European
ky,Kyrgyz,Altaic,non Indo-European
tr,Turkish,Altaic,non Indo-European
tt,Tatar,Altaic,non Indo-European
uz,Uzbek,Altaic,non Indo-European
hy,Armenian,Armenian,Indo-European
vi,Vietnamese,Austroasiatic,non Indo-European
am,Amharic,Austronesian,non Indo-European
bug,Buginese,Austronesian,non Indo-European
ceb,Cebuano,Austronesian,non Indo-European
id,Indonesian,Austronesian,non Indo-European
jv,Javanese,Austronesian,non Indo-European
min,Minang,Austronesian,non Indo-European
ms,Malay,Austronesian,non Indo-European
su,Sundanese,Austronesian,non Indo-European
tl,Tagalog,Austronesian,non Indo-European
war,Waray-Waray,Austronesian,non Indo-European
lt,Lithuanian,Baltic,Indo-European
lv,Latvian,Baltic,Indo-European
br,Breton,Brythonic,Indo-European
cy,Welsh,Brythonic,Indo-European
my,Burmese,Burmish,non Indo-European
eo,Esperanto,constructed,non Indo-European
ia,Interlingua,constructed,non Indo-European
io,Ido,constructed,non Indo-European
vo,Volap,constructed,non Indo-European
ht,Haitian,creole,non Indo-European
kn,Kannada,Dravidian,non Indo-European
ml,Malayalam,Dravidian,non Indo-European
ta,Tamil,Dravidian,non Indo-European
te,Telugu,Dravidian,non Indo-European
be,Belarusian,East Slavic,Indo-European
ru,Russian,East Slavic,Indo-European
uk,Ukrainian,East Slavic,Indo-European
fy,West Frisian,Frisian,Indo-European
ga,Irish,Goidelic,Indo-European
gd,Scottish Gaelic,Goidelic,Indo-European
el,Greek,Hellenic,Indo-European
bn,Bengali,Indo-Aryan,Indo-European
bpy,Bishnupriya Manipuri,Indo-Aryan,Indo-European
gu,Gujarati,Indo-Aryan,Indo-European
hi,Hindi,Indo-Aryan,Indo-European
hif,Fiji Hindi,Indo-Aryan,Indo-European
mr,Marathi,Indo-Aryan,Indo-European
ne,Nepali,Indo-Aryan,Indo-European
ur,Urdu,Indo-Aryan,Indo-European
bs,Bosnian,Indo-Aryan,Indo-European
hr,Croatian,Indo-Aryan,Indo-European
pnb,Punjabi,Indo-Aryan,Indo-European
sr,Serbian,Indo-Aryan,Indo-European
ckb,Central Kurdish,Iranian,Indo-European
fa,Persian,Iranian,Indo-European
ku,Kurdish,Iranian,Indo-European
mzn,Mazandarani,Iranian,Indo-European
tg,Tajik,Iranian,Indo-European
la,Latin,Italic,Indo-European
ja,Japanese,Japonic,non Indo-European
ka,Georgian,Kartvelian,non Indo-European
ko,Korean,Korean,non Indo-European
sw,Swahili,Niger-Congo,non Indo-European
yo,Yoruba,Niger-Congo,non Indo-European
da,Danish,North Germanic,Indo-European
is,Icelandic,North Germanic,Indo-European
nn,Norwegian (Nynorsk),North Germanic,Indo-European
sv,Swedish,North Germanic,Indo-European
no,Norwegian (Bokmal),North Germanic,Indo-European
qu,Quechua,Quechuan,non Indo-European
an,Aragonese,Romance,Indo-European
ast,Asturian,Romance,Indo-European
ca,Catalan,Romance,Indo-European
es,Spanish,Romance,Indo-European
fr,French,Romance,Indo-European
gl,Galician,Romance,Indo-European
it,Italian,Romance,Indo-European
lmo,Lombard,Romance,Indo-European
nap,Neapolitan,Romance,Indo-European
oc,Occitan,Romance,Indo-European
pms,Piedmontese,Romance,Indo-European
pt,Portuguese,Romance,Indo-European
ro,Romanian,Romance,Indo-European
scn,Sicilian,Romance,Indo-European
vec,Venetian,Romance,Indo-European
wa,Walloon,Romance,Indo-European
ar,Arabic,Semitic,non Indo-European
arz,Egyptian Arabic,Semitic,non Indo-European
he,Hebrew,Semitic,non Indo-European
zh,Chinese,Sino-Tibetan,non Indo-European
bg,Bulgarian,South Slavic,Indo-European
mk,Macedonian,South Slavic,Indo-European
sh,Serbo-Croatian,South Slavic,Indo-European
sl,Slovene,South Slavic,Indo-European
th,Thai,Tai,non Indo-European
new,Newar,Tibeto-Burman,non Indo-European
et,Estonian,Uralic,non Indo-European
fi,Finnish,Uralic,non Indo-European
hu,Hungarian,Uralic,non Indo-European
eu,Basque,Vasonic,non Indo-European
af,Afrikaans,West Germanic,Indo-European
de,German,West Germanic,Indo-European
en,English,West Germanic,Indo-European
lb,Luxembourgish,West Germanic,Indo-European
nds,Low Saxon,West Germanic,Indo-European
nl,Dutch,West Germanic,Indo-European
sco,Scots,West Germanic,Indo-European
yi,Yiddish,West Germanic,Indo-European
als,Alemannic,West Germanic,Indo-European
cs,Czech,West Slavic,Indo-European
pl,Polish,West Slavic,Indo-European
sk,Slovak,West Slavic,Indo-European
