lang,length,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper
af,3,0.282256124759771,0.353135437449585,0.636486726651425,1.62816417584537e-15,6.05736443923186e-24,2.37619140880336e-88,0.215777172392949,0.289584236448293,0.346130484425889,0.413586749315721
af,4,0.250149357441919,0.335293260540289,0.617649682032643,5.27429829389059e-23,4.79517018089802e-41,9.71296847330442e-160,0.202288182444959,0.289779212328685,0.296818452301851,0.379294249338004
af,5,0.178564958154033,0.316608417870068,0.584092589929445,3.10123496799213e-16,3.10885812225948e-49,6.58572223067651e-189,0.136449915650664,0.277230511088521,0.220035714673764,0.354924483063665
af,6,0.162142601715147,0.250569649360423,0.413931379899143,3.25084782150114e-16,3.73305396062729e-37,2.98104579690527e-104,0.123757238472861,0.213493735897874,0.200043444493586,0.286924824849333
af,7,0.139614716326563,0.258784542495168,0.325768006432047,3.40092952906582e-13,1.84789650356471e-42,1.30539985975172e-67,0.102383038360504,0.223194611931695,0.176455773937654,0.293685446012491
als,3,0.286604189218891,0.287797457408259,0.530738742857678,1.70382277662537e-19,1.18914111241651e-19,1.96237471152923e-70,0.227267662533605,0.228500666372087,0.343820505184843,0.344966794283439
als,4,0.272277190591779,0.274026712727268,0.545666665603678,2.01452754855551e-34,7.33557873416561e-35,2.03607837590648e-151,0.230632488386075,0.232421726370182,0.312926249478479,0.3146306907584
als,5,0.270823496409564,0.273207458443782,0.514999552273638,4.58580031631341e-48,6.46146007722295e-49,1.04855763146386e-188,0.23607451304583,0.238504007492897,0.304880728625823,0.307214044464401
als,6,0.264503383353582,0.229606249821023,0.460041875361104,1.22492026761131e-47,5.16635724229386e-36,6.46965759562905e-152,0.230328390132449,0.19484222704282,0.29802672375856,0.263794120737681
als,7,0.306675049499852,0.246363838045691,0.38008321792148,1.23132325853219e-59,1.87295150162332e-38,4.00910903207428e-93,0.27202226657827,0.210517934461098,0.340533487633224,0.28154815152456
am,3,0.17110794489849,0.401890119851165,0.464851970616446,1.03581124383177e-32,6.339417875484e-185,9.0959760867379e-255,0.143445036253742,0.377837436760043,0.198503684497869,0.425400715270138
am,4,0.246863676976041,0.343444501843937,0.456391152009126,2.91696876008108e-85,3.11779029641957e-168,3.0133982682631e-311,0.223134807584469,0.32110174113024,0.27030015535327,0.36540516204748
am,5,0.225768236812346,0.294249295422362,0.438301475521885,1.06805075144073e-50,2.04462902734465e-86,7.16545547199311e-201,0.197171523078818,0.266668731859801,0.253981087253698,0.321348318353269
am,6,0.348150266434238,0.316040937662892,0.452277566874378,6.60018582382546e-60,4.00830793733822e-49,1.16895120008232e-104,0.309665264405637,0.276677323605754,0.385496464821866,0.354345732216232
am,7,0.311326686735435,0.201220170381706,0.352577488820711,6.14382812380998e-18,3.91085798859076e-08,7.03731859464212e-23,0.244422545963879,0.130710239719588,0.375280685681486,0.269704774568525
an,3,0.250633177320576,0.291078631031906,0.563175650091969,4.44756967949488e-09,7.21951672747573e-12,6.27103615692176e-46,0.169306799708074,0.211373784409231,0.328569434531291,0.366937720009609
