lang,length,lex,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper,mu.mp.f,mu.prob.f,var.mp.f,var.prob.f,z.mp.f,z.prob.f,p.mp.f,p.prob.f,sig.mp.f,sig.prob.f
af,3,-1,0.282256124759771,0.353135437449585,0.636486726651425,1.62816417584537e-15,6.05736443923186e-24,2.37619140880336e-88,0.215777172392949,0.289584236448293,0.346130484425889,0.413586749315721,0.00477033345136601,0.000218089036033331,0.0370619879617092,0.035725141944412,7.48707251200586,9.87868288844557,7.04267971737438e-14,5.15054119424543e-23,*,*
af,3,-1,0.282256124759771,0.353135437449585,0.636486726651425,1.62816417584537e-15,6.05736443923186e-24,2.37619140880336e-88,0.215777172392949,0.289584236448293,0.346130484425889,0.413586749315721,0.00477033345136601,0.000218089036033331,0.0370619879617092,0.035725141944412,7.48707251200586,9.87868288844557,7.04267971737438e-14,5.15054119424543e-23,*,*
af,4,-1,0.250149357441919,0.335293260540289,0.617649682032643,5.27429829389059e-23,4.79517018089802e-41,9.71296847330442e-160,0.202288182444959,0.289779212328685,0.296818452301851,0.379294249338004,0.0029578015908742,0.00194373890110355,0.0259511214087564,0.0261126731928764,9.52527453274671,12.7658137172307,1.64606262328033e-21,2.54477316262844e-37,*,*
af,4,-1,0.250149357441919,0.335293260540289,0.617649682032643,5.27429829389059e-23,4.79517018089802e-41,9.71296847330442e-160,0.202288182444959,0.289779212328685,0.296818452301851,0.379294249338004,0.0029578015908742,0.00194373890110355,0.0259511214087564,0.0261126731928764,9.52527453274671,12.7658137172307,1.64606262328033e-21,2.54477316262844e-37,*,*
af,5,-1,0.178564958154033,0.316608417870068,0.584092589929445,3.10123496799213e-16,3.10885812225948e-49,6.58572223067651e-189,0.136449915650664,0.277230511088521,0.220035714673764,0.354924483063665,2.0523391877748e-06,-0.000985879855899581,0.0224086577303763,0.0214481535611927,7.96847843201211,14.8075356146558,1.60639895811939e-15,1.30954092477696e-49,*,*
af,5,-1,0.178564958154033,0.316608417870068,0.584092589929445,3.10123496799213e-16,3.10885812225948e-49,6.58572223067651e-189,0.136449915650664,0.277230511088521,0.220035714673764,0.354924483063665,2.0523391877748e-06,-0.000985879855899581,0.0224086577303763,0.0214481535611927,7.96847843201211,14.8075356146558,1.60639895811939e-15,1.30954092477696e-49,*,*
af,6,-1,0.162142601715147,0.250569649360423,0.413931379899143,3.25084782150114e-16,3.73305396062729e-37,2.98104579690527e-104,0.123757238472861,0.213493735897874,0.200043444493586,0.286924824849333,0.000344204813477098,0.00135993202189941,0.0207891161167248,0.0201430507986741,7.78284155965165,12.3719946809114,7.09134227456677e-15,3.70504566167303e-35,*,*
af,6,-1,0.162142601715147,0.250569649360423,0.413931379899143,3.25084782150114e-16,3.73305396062729e-37,2.98104579690527e-104,0.123757238472861,0.213493735897874,0.200043444493586,0.286924824849333,0.000344204813477098,0.00135993202189941,0.0207891161167248,0.0201430507986741,7.78284155965165,12.3719946809114,7.09134227456677e-15,3.70504566167303e-35,*,*
af,7,-1,0.139614716326563,0.258784542495168,0.325768006432047,3.40092952906582e-13,1.84789650356471e-42,1.30539985975172e-67,0.102383038360504,0.223194611931695,0.176455773937654,0.293685446012491,-0.000657451144194143,0.00209751292332993,0.0186754715369948,0.0188171805019841,7.51103752282172,13.6410993955642,5.86605740473188e-14,2.28095737392168e-42,*,*
af,7,-1,0.139614716326563,0.258784542495168,0.325768006432047,3.40092952906582e-13,1.84789650356471e-42,1.30539985975172e-67,0.102383038360504,0.223194611931695,0.176455773937654,0.293685446012491,-0.000657451144194143,0.00209751292332993,0.0186754715369948,0.0188171805019841,7.51103752282172,13.6410993955642,5.86605740473188e-14,2.28095737392168e-42,*,*
als,3,-1,0.286604189218891,0.287797457408259,0.530738742857678,1.70382277662537e-19,1.18914111241651e-19,1.96237471152923e-70,0.227267662533605,0.228500666372087,0.343820505184843,0.344966794283439,0.0269556482880679,0.0137214064085645,0.033193769633806,0.0337556607722398,7.82220711281872,8.11941004055506,5.19051168001787e-15,4.68455270207359e-16,*,*
als,3,-1,0.286604189218891,0.287797457408259,0.530738742857678,1.70382277662537e-19,1.18914111241651e-19,1.96237471152923e-70,0.227267662533605,0.228500666372087,0.343820505184843,0.344966794283439,0.0269556482880679,0.0137214064085645,0.033193769633806,0.0337556607722398,7.82220711281872,8.11941004055506,5.19051168001787e-15,4.68455270207359e-16,*,*
als,4,-1,0.272277190591779,0.274026712727268,0.545666665603678,2.01452754855551e-34,7.33557873416561e-35,2.03607837590648e-151,0.230632488386075,0.232421726370182,0.312926249478479,0.3146306907584,0.0167020155060763,0.00904528807054729,0.023081155109513,0.0228870974818239,11.0728936170255,11.5777644966628,1.6982674467929e-28,5.34209995202121e-31,*,*
als,4,-1,0.272277190591779,0.274026712727268,0.545666665603678,2.01452754855551e-34,7.33557873416561e-35,2.03607837590648e-151,0.230632488386075,0.232421726370182,0.312926249478479,0.3146306907584,0.0167020155060763,0.00904528807054729,0.023081155109513,0.0228870974818239,11.0728936170255,11.5777644966628,1.6982674467929e-28,5.34209995202121e-31,*,*
als,5,-1,0.270823496409564,0.273207458443782,0.514999552273638,4.58580031631341e-48,6.46146007722295e-49,1.04855763146386e-188,0.23607451304583,0.238504007492897,0.304880728625823,0.307214044464401,0.00198526693826096,0.00131239824552333,0.018874689014315,0.0181671119058048,14.2433196789314,14.9663337578375,4.93270385763091e-46,1.21856174003515e-50,*,*
als,5,-1,0.270823496409564,0.273207458443782,0.514999552273638,4.58580031631341e-48,6.46146007722295e-49,1.04855763146386e-188,0.23607451304583,0.238504007492897,0.304880728625823,0.307214044464401,0.00198526693826096,0.00131239824552333,0.018874689014315,0.0181671119058048,14.2433196789314,14.9663337578375,4.93270385763091e-46,1.21856174003515e-50,*,*
als,6,-1,0.264503383353582,0.229606249821023,0.460041875361104,1.22492026761131e-47,5.16635724229386e-36,6.46965759562905e-152,0.230328390132449,0.19484222704282,0.29802672375856,0.263794120737681,-0.00054638692022484,-0.000850398658889338,0.0186666705188192,0.0188029175116823,14.1990919058968,12.2564303298533,9.2807236036306e-46,1.55186786735241e-34,*,*
als,6,-1,0.264503383353582,0.229606249821023,0.460041875361104,1.22492026761131e-47,5.16635724229386e-36,6.46965759562905e-152,0.230328390132449,0.19484222704282,0.29802672375856,0.263794120737681,-0.00054638692022484,-0.000850398658889338,0.0186666705188192,0.0188029175116823,14.1990919058968,12.2564303298533,9.2807236036306e-46,1.55186786735241e-34,*,*
als,7,-1,0.306675049499852,0.246363838045691,0.38008321792148,1.23132325853219e-59,1.87295150162332e-38,4.00910903207428e-93,0.27202226657827,0.210517934461098,0.340533487633224,0.28154815152456,-0.00339602168427371,-0.00158770228618801,0.0195759899668972,0.0198016423824055,15.8393558491015,12.5217664041945,1.66517854208216e-56,5.67577700525614e-36,*,*
als,7,-1,0.306675049499852,0.246363838045691,0.38008321792148,1.23132325853219e-59,1.87295150162332e-38,4.00910903207428e-93,0.27202226657827,0.210517934461098,0.340533487633224,0.28154815152456,-0.00339602168427371,-0.00158770228618801,0.0195759899668972,0.0198016423824055,15.8393558491015,12.5217664041945,1.66517854208216e-56,5.67577700525614e-36,*,*
am,3,-1,0.17110794489849,0.401890119851165,0.464851970616446,1.03581124383177e-32,6.339417875484e-185,9.0959760867379e-255,0.143445036253742,0.377837436760043,0.198503684497869,0.425400715270138,0.00378513567916111,0.0019565380560073,0.0146022368535319,0.0147268508983431,11.4587108055885,27.1567617921733,2.12656579581187e-30,2.10678005246353e-162,*,*
am,3,-1,0.17110794489849,0.401890119851165,0.464851970616446,1.03581124383177e-32,6.339417875484e-185,9.0959760867379e-255,0.143445036253742,0.377837436760043,0.198503684497869,0.425400715270138,0.00378513567916111,0.0019565380560073,0.0146022368535319,0.0147268508983431,11.4587108055885,27.1567617921733,2.12656579581187e-30,2.10678005246353e-162,*,*
am,4,-1,0.246863676976041,0.343444501843937,0.456391152009126,2.91696876008108e-85,3.11779029641957e-168,3.0133982682631e-311,0.223134807584469,0.32110174113024,0.27030015535327,0.36540516204748,0.00311014384137636,0.00634016095808809,0.0126849206232429,0.0127933432788029,19.2160077602716,26.3499801060129,2.71903060419779e-82,5.13510071225751e-153,*,*
am,4,-1,0.246863676976041,0.343444501843937,0.456391152009126,2.91696876008108e-85,3.11779029641957e-168,3.0133982682631e-311,0.223134807584469,0.32110174113024,0.27030015535327,0.36540516204748,0.00311014384137636,0.00634016095808809,0.0126849206232429,0.0127933432788029,19.2160077602716,26.3499801060129,2.71903060419779e-82,5.13510071225751e-153,*,*
am,5,-1,0.225768236812346,0.294249295422362,0.438301475521885,1.06805075144073e-50,2.04462902734465e-86,7.16545547199311e-201,0.197171523078818,0.266668731859802,0.253981087253698,0.321348318353269,0.00467805262518716,0.0102214531040447,0.0155896725548193,0.0142638582792486,14.1818363028294,19.9124133707587,1.18699351624831e-45,3.1763859225604e-88,*,*
